    SID    PGID     PID USER     TT       %MEM CMD
   4067    4067    4067 dayan    ?         0.0 /usr/libexec/gvfsd-metadata
   4137    4137    4137 dayan    ?         0.0 /usr/libexec/xdg-desktop-portal
   4142    4142    4142 dayan    ?         0.7 /usr/libexec/xdg-desktop-portal-gnome
   4168    4168    4168 dayan    ?         0.1 /usr/libexec/xdg-desktop-portal-gtk
   3375    3375    4225 dayan    ?         2.8 /opt/google/chrome/chrome
   3375    3375    4230 dayan    ?         0.0 cat
   3375    3375    4231 dayan    ?         0.0 [cat] <defunct>
   4232    4232    4233 dayan    ?         0.0 /opt/google/chrome/chrome_crashpad_handler --monitor-self --monitor-self-annotation=ptype=crashpad-handler --database=/home/dayan/.config/google-chrome/Crash Reports --metrics-dir=/home/dayan/.config/google-chrome --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Ubuntu 24.04.1 LTS --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=128.0.6613.137 --initial-client-fd=5 --shared-client-connection
   4234    4234    4235 dayan    ?         0.0 /opt/google/chrome/chrome_crashpad_handler --no-periodic-tasks --monitor-self-annotation=ptype=crashpad-handler --database=/home/dayan/.config/google-chrome/Crash Reports --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Ubuntu 24.04.1 LTS --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=128.0.6613.137 --initial-client-fd=4 --shared-client-connection
   3375    3375    4241 dayan    ?         0.3 /opt/google/chrome/chrome --type=zygote --no-zygote-sandbox --crashpad-handler-pid=4233 --enable-crash-reporter=0aacc1d4-e2e1-47be-b538-8e22fcadf48d, --change-stack-guard-on-fork=enable
   3375    3375    4242 dayan    ?         0.3 /opt/google/chrome/chrome --type=zygote --crashpad-handler-pid=4233 --enable-crash-reporter=0aacc1d4-e2e1-47be-b538-8e22fcadf48d, --change-stack-guard-on-fork=enable
   3375    3375    4244 dayan    ?         0.1 /opt/google/chrome/chrome --type=zygote --crashpad-handler-pid=4233 --enable-crash-reporter=0aacc1d4-e2e1-47be-b538-8e22fcadf48d, --change-stack-guard-on-fork=enable
   3375    3375    4270 dayan    ?         1.4 /opt/google/chrome/chrome --type=gpu-process --crashpad-handler-pid=4233 --enable-crash-reporter=0aacc1d4-e2e1-47be-b538-8e22fcadf48d, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --gpu-preferences=UAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAAABAAAAAAAAAAEAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --shared-files --field-trial-handle=3,i,17925740479989789961,14040169563793925183,262144 --variations-seed-version=20241022-050127.975000
   3375    3375    4274 dayan    ?         0.8 /opt/google/chrome/chrome --type=utility --utility-sub-type=network.mojom.NetworkService --lang=es --service-sandbox-type=none --crashpad-handler-pid=4233 --enable-crash-reporter=0aacc1d4-e2e1-47be-b538-8e22fcadf48d, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,17925740479989789961,14040169563793925183,262144 --variations-seed-version=20241022-050127.975000
   3375    3375    4284 dayan    ?         0.3 /opt/google/chrome/chrome --type=utility --utility-sub-type=storage.mojom.StorageService --lang=es --service-sandbox-type=utility --crashpad-handler-pid=4233 --enable-crash-reporter=0aacc1d4-e2e1-47be-b538-8e22fcadf48d, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,17925740479989789961,14040169563793925183,262144 --variations-seed-version=20241022-050127.975000
   3375    3375    4320 dayan    ?         0.8 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=4233 --enable-crash-reporter=0aacc1d4-e2e1-47be-b538-8e22fcadf48d, --extension-process --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --lang=es --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=9 --time-ticks-at-unix-epoch=-1729707017653160 --launch-time-ticks=36720802 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,17925740479989789961,14040169563793925183,262144 --variations-seed-version=20241022-050127.975000
   3375    3375    4529 dayan    ?         1.5 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=4233 --enable-crash-reporter=0aacc1d4-e2e1-47be-b538-8e22fcadf48d, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --lang=es --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=16 --time-ticks-at-unix-epoch=-1729707017653160 --launch-time-ticks=42159125 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,17925740479989789961,14040169563793925183,262144 --variations-seed-version=20241022-050127.975000
   3332    3332    4636 dayan    ?         0.2 /usr/bin/update-notifier
   3375    3375    4818 dayan    ?         0.7 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=4233 --enable-crash-reporter=0aacc1d4-e2e1-47be-b538-8e22fcadf48d, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --lang=es --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=31 --time-ticks-at-unix-epoch=-1729707017653160 --launch-time-ticks=237625581 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,17925740479989789961,14040169563793925183,262144 --variations-seed-version=20241022-050127.975000
   3375    3375    4931 dayan    ?         0.9 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=4233 --enable-crash-reporter=0aacc1d4-e2e1-47be-b538-8e22fcadf48d, --extension-process --init-isolate-as-foreground --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --lang=es --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=37 --time-ticks-at-unix-epoch=-1729707017653160 --launch-time-ticks=275818353 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,17925740479989789961,14040169563793925183,262144 --variations-seed-version=20241022-050127.975000
   3375    3375    4942 dayan    ?         0.9 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=4233 --enable-crash-reporter=0aacc1d4-e2e1-47be-b538-8e22fcadf48d, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --pdf-renderer --lang=es --js-flags=--jitless --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=38 --time-ticks-at-unix-epoch=-1729707017653160 --launch-time-ticks=275890741 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,17925740479989789961,14040169563793925183,262144 --variations-seed-version=20241022-050127.975000
   3375    3375    5576 dayan    ?         2.6 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=4233 --enable-crash-reporter=0aacc1d4-e2e1-47be-b538-8e22fcadf48d, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --lang=es --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=47 --time-ticks-at-unix-epoch=-1729707017653160 --launch-time-ticks=411026193 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,17925740479989789961,14040169563793925183,262144 --variations-seed-version=20241022-050127.975000
   3375    3375    5694 dayan    ?         0.5 /opt/google/chrome/chrome --type=utility --utility-sub-type=audio.mojom.AudioService --lang=es --service-sandbox-type=none --crashpad-handler-pid=4233 --enable-crash-reporter=0aacc1d4-e2e1-47be-b538-8e22fcadf48d, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,17925740479989789961,14040169563793925183,262144 --variations-seed-version=20241022-050127.975000
   3375    3375    5805 dayan    ?         1.6 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=4233 --enable-crash-reporter=0aacc1d4-e2e1-47be-b538-8e22fcadf48d, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --lang=es --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=58 --time-ticks-at-unix-epoch=-1729707017653160 --launch-time-ticks=526822313 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,17925740479989789961,14040169563793925183,262144 --variations-seed-version=20241022-050127.975000
   3375    3375    5815 dayan    ?         1.0 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=4233 --enable-crash-reporter=0aacc1d4-e2e1-47be-b538-8e22fcadf48d, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --lang=es --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=59 --time-ticks-at-unix-epoch=-1729707017653160 --launch-time-ticks=529625741 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,17925740479989789961,14040169563793925183,262144 --variations-seed-version=20241022-050127.975000
   3375    3375    5903 dayan    ?         3.3 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=4233 --enable-crash-reporter=0aacc1d4-e2e1-47be-b538-8e22fcadf48d, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --lang=es --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=63 --time-ticks-at-unix-epoch=-1729707017653160 --launch-time-ticks=639017951 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,17925740479989789961,14040169563793925183,262144 --variations-seed-version=20241022-050127.975000
   3375    3375    7507 dayan    ?         1.4 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=4233 --enable-crash-reporter=0aacc1d4-e2e1-47be-b538-8e22fcadf48d, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --lang=es --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=80 --time-ticks-at-unix-epoch=-1729707017653160 --launch-time-ticks=1153440746 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,17925740479989789961,14040169563793925183,262144 --variations-seed-version=20241022-050127.975000
   3375    3375    7544 dayan    ?         1.6 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=4233 --enable-crash-reporter=0aacc1d4-e2e1-47be-b538-8e22fcadf48d, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --lang=es --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=82 --time-ticks-at-unix-epoch=-1729707017653160 --launch-time-ticks=1156837273 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,17925740479989789961,14040169563793925183,262144 --variations-seed-version=20241022-050127.975000
   3375    3375    7586 dayan    ?         0.7 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=4233 --enable-crash-reporter=0aacc1d4-e2e1-47be-b538-8e22fcadf48d, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --lang=es --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=84 --time-ticks-at-unix-epoch=-1729707017653160 --launch-time-ticks=1161007534 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,17925740479989789961,14040169563793925183,262144 --variations-seed-version=20241022-050127.975000
   3375    3375    7595 dayan    ?         0.8 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=4233 --enable-crash-reporter=0aacc1d4-e2e1-47be-b538-8e22fcadf48d, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --lang=es --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=85 --time-ticks-at-unix-epoch=-1729707017653160 --launch-time-ticks=1161015703 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,17925740479989789961,14040169563793925183,262144 --variations-seed-version=20241022-050127.975000
   3375    3375    9402 dayan    ?         1.2 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=4233 --enable-crash-reporter=0aacc1d4-e2e1-47be-b538-8e22fcadf48d, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --lang=es --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=119 --time-ticks-at-unix-epoch=-1729707017653160 --launch-time-ticks=2571355922 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,17925740479989789961,14040169563793925183,262144 --variations-seed-version=20241022-050127.975000
   3375    3375   12811 dayan    ?         0.9 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=4233 --enable-crash-reporter=0aacc1d4-e2e1-47be-b538-8e22fcadf48d, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --pdf-renderer --lang=es --js-flags=--jitless --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=189 --time-ticks-at-unix-epoch=-1729707017653160 --launch-time-ticks=5212097533 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,17925740479989789961,14040169563793925183,262144 --variations-seed-version=20241022-050127.975000
   3375    3375   12974 dayan    ?         1.1 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=4233 --enable-crash-reporter=0aacc1d4-e2e1-47be-b538-8e22fcadf48d, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --lang=es --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=195 --time-ticks-at-unix-epoch=-1729707017653160 --launch-time-ticks=5439138575 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,17925740479989789961,14040169563793925183,262144 --variations-seed-version=20241022-050127.975000
   3375    3375   13068 dayan    ?         1.1 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=4233 --enable-crash-reporter=0aacc1d4-e2e1-47be-b538-8e22fcadf48d, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --lang=es --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=200 --time-ticks-at-unix-epoch=-1729707017653160 --launch-time-ticks=5569364481 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,17925740479989789961,14040169563793925183,262144 --variations-seed-version=20241022-050127.975000
   3375    3375   13552 dayan    ?         0.4 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/app/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com/app
   3375    3375   13632 dayan    ?         1.3 /usr/share/code/code
   3375    3375   13637 dayan    ?         0.2 /usr/share/code/code --type=zygote --no-zygote-sandbox
   3375    3375   13638 dayan    ?         0.2 /usr/share/code/code --type=zygote
   3375    3375   13640 dayan    ?         0.0 /usr/share/code/code --type=zygote
  13654   13654   13655 dayan    ?         0.0 /usr/share/code/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --no-rate-limit --database=/home/dayan/.config/Code/Crashpad --url=appcenter://code?aid=fba07a4d-84bd-4fc8-a125-9640fc8ce171&uid=5b4dfc89-6c09-4ad7-bc18-ca3d08004eb3&iid=5b4dfc89-6c09-4ad7-bc18-ca3d08004eb3&sid=5b4dfc89-6c09-4ad7-bc18-ca3d08004eb3 --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.93.1 --annotation=lsb-release=Ubuntu 24.04.1 LTS --annotation=plat=Linux --annotation=prod=Electron --annotation=ver=30.4.0 --initial-client-fd=44 --shared-client-connection
   3375    3375   13670 dayan    ?         0.9 /usr/share/code/code --type=gpu-process --crashpad-handler-pid=13655 --enable-crash-reporter=9342ff24-78eb-45f1-b2a9-7b52364397fb,no_channel --user-data-dir=/home/dayan/.config/Code --gpu-preferences=WAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAEAAAA4AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAGAAAAAAAAAAYAAAAAAAAAAgAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --field-trial-handle=3,i,14871982867311055587,5758918865634422792,262144 --enable-features=kWebSQLAccess --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --variations-seed-version
   3375    3375   13677 dayan    ?         0.4 /usr/share/code/code --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --crashpad-handler-pid=13655 --enable-crash-reporter=9342ff24-78eb-45f1-b2a9-7b52364397fb,no_channel --user-data-dir=/home/dayan/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,14871982867311055587,5758918865634422792,262144 --enable-features=kWebSQLAccess --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --variations-seed-version
   3375    3375   13719 dayan    ?         1.9 /usr/share/code/code --type=renderer --crashpad-handler-pid=13655 --enable-crash-reporter=9342ff24-78eb-45f1-b2a9-7b52364397fb,no_channel --user-data-dir=/home/dayan/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --app-path=/usr/share/code/resources/app --enable-sandbox --enable-blink-features=HighlightAPI --disable-blink-features=FontMatchingCTMigration, --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=4 --time-ticks-at-unix-epoch=-1729788020694200 --launch-time-ticks=5749015978 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,14871982867311055587,5758918865634422792,262144 --enable-features=kWebSQLAccess --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --variations-seed-version --vscode-window-config=vscode:a7da34e3-9f0a-41c9-9ff1-1a41be0f5768
   3375    3375   13760 dayan    ?         0.7 /usr/share/code/code --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --crashpad-handler-pid=13655 --enable-crash-reporter=9342ff24-78eb-45f1-b2a9-7b52364397fb,no_channel --user-data-dir=/home/dayan/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,14871982867311055587,5758918865634422792,262144 --enable-features=kWebSQLAccess --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --variations-seed-version
   3375    3375   13761 dayan    ?         2.2 /usr/share/code/code --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --dns-result-order=ipv4first --inspect-port=0 --crashpad-handler-pid=13655 --enable-crash-reporter=9342ff24-78eb-45f1-b2a9-7b52364397fb,no_channel --user-data-dir=/home/dayan/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,14871982867311055587,5758918865634422792,262144 --enable-features=kWebSQLAccess --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --variations-seed-version
   3375    3375   13792 dayan    ?         0.7 /usr/share/code/code --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --crashpad-handler-pid=13655 --enable-crash-reporter=9342ff24-78eb-45f1-b2a9-7b52364397fb,no_channel --user-data-dir=/home/dayan/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,14871982867311055587,5758918865634422792,262144 --enable-features=kWebSQLAccess --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --variations-seed-version
   3375    3375   13793 dayan    ?         0.5 /usr/share/code/code --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --crashpad-handler-pid=13655 --enable-crash-reporter=9342ff24-78eb-45f1-b2a9-7b52364397fb,no_channel --user-data-dir=/home/dayan/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,14871982867311055587,5758918865634422792,262144 --enable-features=kWebSQLAccess --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --variations-seed-version
  13828   13828   13828 dayan    pts/0     0.0 /usr/bin/bash --init-file /usr/share/code/resources/app/out/vs/workbench/contrib/terminal/browser/media/shellIntegration-bash.sh
   3375    3375   13843 dayan    ?         0.4 /home/dayan/.vscode/extensions/ms-vscode.cpptools-1.22.10-linux-x64/bin/cpptools
   3375    3375   16194 dayan    ?         1.3 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=4233 --enable-crash-reporter=0aacc1d4-e2e1-47be-b538-8e22fcadf48d, --no-subproc-heap-profiling --change-stack-guard-on-fork=enable --lang=es --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=250 --time-ticks-at-unix-epoch=-1729707017653160 --launch-time-ticks=7574498475 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,17925740479989789961,14040169563793925183,262144 --variations-seed-version=20241022-050127.975000
